Gene	Astrocyte_Fidelity	Microglia_Fidelity	Oligodendrocyte_Fidelity	Neuron_Fidelity
PRICKLE3	10.97738696	14.90881208	4.388047802	-6.034754756
LRMP	-1.241802359	31.47646793	7.426541021	23.31790098
NEDD8	7.2294657	39.95924811	25.08292033	17.99943118
NELL1	-9.152681965	21.02870604	10.19094408	42.71206053
NEFL	-14.4150655	21.59578283	16.07119722	46.39921373
NELL2	-15.42953614	5.824147549	-5.48701011	50.0458663
NEUROD2	-7.705383162	-1.590917572	-10.23873632	19.56659412
NEUROG1	-2.930420449	7.424152233	-0.1568737171	-3.89361029
NFE2	9.516030208	6.261191527	4.562452083	-0.2027580933
NFRKB	12.06775276	13.21744457	11.9377868	20.73916136
NKX3-1	10.64714809	9.883921887	4.862785227	10.4325673
NKX6-1	5.934210018	22.25000094	39.09344391	-4.306414021
NNMT	5.046246929	13.63401815	3.552205395	10.29139472
NPPA	3.872519027	8.19356103	-4.996960945	14.64225722
NRAP	2.156259323	-3.019377417	-3.255172402	-1.043672669
NRL	17.76085579	9.566546474	7.137779452	5.904868349
NSF	-5.660450542	18.08033456	9.572793968	88.36077784
NTF4	7.618991211	-1.963125606	0.4084780071	3.987970311
NTRK2	124.4078264	12.58285382	14.15722063	35.07006291
NTS	7.386921032	4.836144197	-0.1409776852	7.057287575
NUCB1	17.81683849	16.58356109	9.116546841	22.39886287
NR4A2	5.998163485	11.66333673	12.03571498	14.16613496
OAS3	27.09117053	25.10590025	26.93117157	-1.042853424
OCM	-2.291375067	1.368753527	-2.109176076	6.410513844
ORC2	6.011692955	19.50481615	30.06904925	23.27423813
PA2G4	11.20671674	31.45532755	31.84966315	30.82237951
PAX1	2.241293164	4.966946783	5.253338662	-4.167315444
PAX4	-4.689389692	14.27982185	6.473275454	-6.48099921
PCM1	27.11140836	29.72117849	39.70843044	25.28752831
PCP4	-10.321795	11.04114368	9.660506339	24.43389921
PDE4A	-3.876841895	14.25722829	8.429470483	27.74435159
PDE6C	3.697746792	-4.918511572	-4.474629615	0.1480809922
PDE6H	-2.023396052	8.214319764	-0.270204167	0.117482252
PDGFRL	11.35023778	13.09461342	13.90585181	5.62138532
ENPP2	8.145855979	32.70410839	134.8081471	0.5270873164
PENK	-5.489998331	5.381290137	-1.542518473	14.89840612
PHYH	26.84918764	1.651965147	2.433500879	25.18968694
PIN1	-18.74605268	32.00467416	12.86871026	25.82338377
PITPNB	5.706378505	24.74231164	21.17526929	46.34254544
PLTP	78.19508617	16.67416181	9.130691777	-9.527791176
PNOC	-8.615086073	23.84220299	9.051945982	18.40997113
POLD2	13.92039796	32.34925195	19.275477	-1.115659312
POLE	4.179567211	3.648609466	-1.127577802	7.194906717
POLR2H	11.12826171	28.62662202	16.21219994	17.41492223
POLR2I	4.956824912	34.76031147	33.62970635	9.941111226
POLR2J	30.86146937	28.85883576	17.55089945	16.1103634
POU2AF1	7.096898014	19.3503854	50.35652616	-13.31266092
PPARD	27.37033608	12.45690742	21.2890571	34.43649103
PPP1R2	6.157990985	27.88769577	18.12004122	53.89531419
PPP1R3D	42.72847673	7.131251295	16.85032645	8.822386921
PPP5C	-2.849834175	28.6102789	15.25325055	29.2485907
PRKAA2	-1.735694936	6.564286848	5.546640951	40.20954929
PRKG2	9.599542349	-4.439702287	-3.294198919	44.77890023
PROP1	2.620304669	10.62081136	1.667694836	-7.790400285
PRPH	-3.30431158	9.471777494	-2.468851519	-10.28109281
PSME1	27.98395027	49.83955177	40.9946907	13.56550526
RALGDS	27.9093298	20.46596689	47.95623673	1.070531699
RP1	2.11380754	-7.071237043	-7.052696094	-1.874364588
RRAS	31.55558791	33.89605176	31.33309264	-3.439733807
S100A1	47.50523618	15.39489245	34.87823415	0.8717821583
S100B	42.25824203	36.23797275	72.73848478	-14.44225525
CCL7	6.461561858	-8.122055686	-4.98635155	1.222394954
CCL19	11.5376214	12.4424799	16.23367245	0.6632202383
ST3GAL4	12.40826684	32.04362693	70.22351299	1.128763102
SSR4	8.619853279	49.01659526	34.42428633	3.154963028
TACC1	33.91813085	28.45075678	42.39791315	38.65098293
TESK1	11.49249971	16.88332881	13.37318801	27.34532184
TFDP2	16.11010522	19.86388955	17.57775423	39.59842676
TFPI	29.93214658	14.23698597	12.71116512	11.50551585
THY1	-5.656110175	-0.1472395813	-2.631616562	46.68779721
TNFAIP3	21.75554036	16.25298358	13.82196462	-1.102530791
TNFAIP2	19.72780692	17.48321268	12.36772105	18.70665722
TSG101	16.0680939	29.28110613	31.72547486	22.62208524
TYRO3	11.47319587	11.82511782	39.57952155	22.5015803
VARS	1.676089125	34.11789615	21.30601521	31.50944466
MAP3K12	13.18514584	16.59968477	10.56785519	42.02603
MOGS	2.210446733	28.15572879	23.53833625	13.09241776
AIMP2	9.816440624	35.91258303	36.31209068	9.668605436
SMC1A	28.2833989	19.42790764	35.88396272	22.92132124
SRPX	58.97235318	15.15386678	25.82923453	-5.435937407
CNKSR1	8.731152613	6.982810742	8.238514921	3.825041681
PCGF3	17.56937958	22.91820637	25.57077192	45.05799485
TUBGCP3	10.92480542	15.98726916	29.21831247	41.90007033
CFDP1	14.68617652	17.47076764	16.45842277	24.16821346
RBM14	18.76235823	14.7711708	23.27429923	8.22121109
EMG1	23.73782854	39.76089184	36.00066439	19.43148383
C1D	5.869991287	31.74405774	23.95350869	40.86872222
TIMM17B	-12.62271755	36.171757	16.73173167	3.399049128
ZER1	4.412884968	17.0762432	10.95782529	38.06037477
MCRS1	-2.271092364	25.09612158	30.03212265	19.06397985
MAD2L2	15.29996055	41.76180956	36.38243644	1.564504735
MERTK	95.81756537	11.80546723	10.57699277	14.04931954
SLC30A9	0.8328676137	20.41957495	18.40654938	64.84871289
PIBF1	21.57807158	4.097102055	13.51947851	23.44980753
ZNHIT1	16.37425834	24.23697261	31.15554176	11.94226102
TIMM44	3.093831958	23.18345355	15.22334728	6.416470831
TADA3	37.64315872	7.147227065	15.55157859	14.61706031
UBE2E3	0.1853223014	23.24700099	15.56691196	19.60038414
SLC25A17	3.901942795	15.84145908	26.27284164	25.74066932
EIF3M	16.83560181	25.23052051	23.44942547	35.61394224
HOXB13	5.732775254	6.726533405	1.645662386	5.038153227
SEC23A	0.003810140869	18.19125866	15.7572091	66.19440349
LRRC41	13.9248168	28.13943536	31.72912163	42.70097122
SYNCRIP	33.33608628	33.89867716	41.42152795	29.09785226
CIB2	27.32629677	6.574367299	-2.614427965	21.63145285
CIB1	40.37258453	44.22269116	30.9697785	-13.03873911
CHERP	31.18383707	4.766525763	15.87631821	21.87644676
HYOU1	16.86105262	21.66351748	17.3890382	49.32132418
IPO7	27.35520451	13.13182466	15.94799633	49.83245186
NOP56	9.213121105	18.1524971	16.2376144	16.18853492
ATG7	4.755077234	20.74570245	14.22315505	23.44839853
SSSCA1	4.212530981	31.74408039	18.324094	28.45893552
RNASEH2A	2.591337695	39.10994002	35.99184365	-6.520672297
UBD	4.432965476	2.22875253	-2.193242013	-1.844095029
BATF	7.613807864	12.53286632	2.337250064	1.873445237
DCTN2	-13.4161628	40.04631103	25.06139752	27.81496054
LAMTOR5	6.367149513	39.82255147	24.70069412	12.14066171
NEDD9	28.68328962	9.384517892	17.628558	14.28267531
PROCR	15.01650221	17.38345773	17.2570458	-6.922389995
TM9SF1	29.87767283	31.53124204	35.15337332	20.28499134
PRDX4	17.66834466	42.80965511	49.01769409	4.00955706
ARL6IP5	-3.996417147	35.16340715	37.09046066	43.86163038
AGR2	-1.946646161	-3.561005513	-6.186751108	-6.326017258
ARPC1A	-9.675887118	19.42363478	16.86649054	20.27526792
HTATIP2	1.001053789	42.43697471	61.77398019	14.26186633
AGPAT2	6.486485763	24.98053175	3.78053278	3.299733713
RPP38	11.14727136	37.12078726	35.06669834	20.15342348
SPTLC1	39.16033965	20.14954971	40.30315909	52.61967102
IFI44	35.8127363	22.77222463	33.24816656	6.993546944
OLFM4	14.58531347	2.000939502	-1.706628063	16.76894571
ARFGEF1	12.73856569	7.843718293	24.22945932	60.12521916
AKAP3	13.28796547	11.57239043	24.41601614	2.065880598
SLU7	3.426495137	29.86680137	25.10498818	43.64982514
DPYSL4	14.33938985	27.6989551	20.73737906	44.07294949
SIVA1	12.69274817	23.53592226	14.19962302	6.306870958
MRPL28	-2.646165226	27.7069842	12.21990308	26.26645531
CCT7	-11.90099434	31.91866044	20.26459194	35.4498013
CCT4	-16.18130968	28.24878001	19.44334972	21.52531401
CCT2	-6.235291473	26.98665308	17.25913896	37.85772971
NPC2	40.10131221	55.58271944	68.05404959	-10.51401489
TXNRD2	15.12883708	14.69719335	9.892567262	4.537300913
MTHFS	28.51980723	23.73808796	20.53343448	15.95270584
DRAP1	6.964051277	30.5406109	20.05078234	17.65224109
DNPH1	15.85212389	22.35681135	3.457754386	6.969018574
SMC2	5.416350908	10.61829452	27.2609231	39.625908
PRPF8	-1.737786806	28.98052713	26.75772508	17.92744808
CDC42EP3	-9.044905419	6.78767631	-11.17085527	32.37220297
PAIP1	15.07897324	22.84812879	31.60048332	39.40136887
PAICS	46.81825122	34.99695562	36.66401801	31.13464107
TBL3	0.4912464476	32.13765087	23.64114827	15.48198297
MXD4	25.0119044	24.95986865	13.31392445	-1.613496028
LEPREL4	6.573746801	11.68092018	0.1156702552	-8.404338256
ST6GALNAC2	19.28882396	14.67257345	7.233285542	-3.695794105
ERLIN1	34.52318596	14.83740183	19.98827291	39.84005482
SPAG5	-0.943080447	11.9340888	5.455335576	12.61784332
STAMBP	17.72038222	27.26455876	79.91805426	16.54623027
ARID3B	14.57010838	12.61517993	18.81188707	2.739814499
POLR3F	4.340198129	18.12517513	18.78214912	32.06937748
TRIM16	5.704914258	19.77710523	22.4468149	19.10042049
TAF6L	7.345537887	28.84709731	24.90350865	9.148124682
PDPN	27.56783823	44.62514535	27.80711534	1.300695391
POSTN	-0.8382204105	-2.634276689	-1.711611113	6.703109421
RASL10A	11.61532625	15.01191705	3.637002922	12.38254151
GAS2L1	31.51836769	15.27102442	3.038989222	11.66609969
RGS14	1.838525079	9.79659596	-1.336201359	16.76815483
ALX3	1.297745149	11.08264606	11.86511875	-5.086759419
CLN5	35.9534617	35.44918269	60.046383	4.680426741
HIC1	8.595000281	3.781346756	3.047088956	-5.100451326
LGALS2	10.24507226	3.998036893	5.6466877	-4.731427811
MCAM	2.98546788	24.2572287	53.37205145	2.198932921
PSMC4	-6.905380539	15.42405376	14.82314069	40.57994232
RASA2	11.85033168	-1.948991259	1.7420243	34.63474943
RELB	9.401009845	13.45027636	15.43007805	0.0541048287
SAA2-SAA4	-0.1995926236	4.049601943	-2.114073578	-0.5885567379
SARS	-7.155024617	36.3659557	24.20643277	34.99831772
DYNLT1	49.02713194	31.97483511	41.54488055	-1.033996284
TFE3	28.17562689	18.16069886	14.04954586	21.06447007
WNT6	7.976203344	12.2071499	3.006259566	4.894186237
ZNF217	44.37020732	31.67180953	34.56414488	2.073492433
YEATS4	-0.7940479765	26.65331906	19.20852514	36.97300918
IFT88	37.50338004	14.16500409	31.18931711	20.17576974
ELL	20.81674933	13.38580609	18.53637456	16.80251531
MIA	3.613854059	3.577791256	0.09152770626	-2.119977451
NCOA3	14.07378069	28.76491152	34.89755335	22.81638893
CLCA2	4.980850024	8.018016781	29.80437474	-4.26509792
USP3	41.1550154	19.5084887	26.57246684	8.194677099
CACNG3	0.08200587756	9.173325943	-2.070198896	50.02836882
NCOA2	16.65421751	3.966813253	9.857415048	48.18007374
GLRX3	15.80739534	16.01481831	17.2745774	41.76997886
NPRL2	0.01022308902	30.17633644	23.68608225	12.4975577
IGF2BP1	-1.813803537	1.866188164	-1.136797817	-6.479317623
IGF2BP3	25.50763838	0.2989796642	4.332954031	19.98472542
IGF2BP2	29.32109271	1.239055617	12.52585287	1.068665976
MTX2	-4.763422279	19.36825015	25.14217607	40.21569876
YKT6	14.88514247	27.52789839	27.22813511	38.59055483
PMVK	18.39482876	35.49454976	26.51431369	4.919474544
KHDRBS3	-9.4906019	20.06807853	17.2660282	28.9724352
KHDRBS1	10.23432874	30.46074738	36.7636787	23.67300017
CELF2	17.43599127	0.1711043073	1.596953377	79.26683608
LBX1	4.937689876	11.66480092	4.815603965	3.111375039
KLF1	4.139344103	8.801976099	1.624017108	-8.136266165
CTCF	15.57611235	19.98355175	36.66180565	34.80604001
CD226	16.21840678	24.63036035	27.69993101	10.96641257
FARS2	14.33249641	19.65437773	15.51708207	22.60022436
CGRRF1	39.05396018	19.66773377	24.93687188	14.91980884
CGREF1	-5.467498647	-0.4236132154	-8.333496082	43.95086595
DCTN6	17.31160916	31.48826006	33.710284	24.22965202
CSPG5	35.82454493	-6.907879316	-3.247408879	28.91577928
B3GNT2	8.221079722	9.987350397	12.0161417	37.88502421
EBP	2.338329731	25.32495649	18.12382557	30.48939472
CLDN16	0.8456706549	10.89288484	2.264223456	12.30740843
FUT9	34.03838372	14.57256705	20.04372236	20.69741578
CCT8	-0.7004457526	16.69186383	5.317592907	39.60799517
CNPY3	18.08295099	55.23220099	38.08794319	13.71182139
CORIN	-5.51171092	2.857106063	-3.284704593	6.95648746
FAM189B	2.830083018	14.01768286	10.07357827	19.74986404
TBR1	-6.704432765	-1.352274354	2.207650822	36.8460805
API5	14.34130746	15.54314671	31.65808528	56.25019337
NFAT5	26.81309185	8.059907666	21.80728532	37.52953114
NUDC	1.515783174	21.46055031	12.76302823	0.2087575776
TCFL5	14.55604268	25.68425935	45.26657217	0.9453926298
RBBP9	26.74164048	28.22765109	37.33544916	35.64915539
PHTF1	2.676911778	6.539825068	3.740731451	43.28281072
MASP2	11.21411703	10.52388132	12.61996552	13.1333511
KIF1C	24.47583646	24.85048218	50.13868289	-6.455891042
GRAP	20.07287801	11.32729328	18.19624022	1.517371649
ZMYND11	38.77669316	24.97004094	44.51756302	44.11711333
ZBTB6	6.507836855	11.46618087	20.15625071	12.79659021
VAMP5	50.99033416	18.13826773	20.30198291	4.479987635
OR5I1	14.33045887	-5.446212956	7.8773198	-0.8446729935
RPP40	-6.254035515	19.36272152	10.83441224	33.64812745
CYSLTR1	7.855156519	34.53916463	20.86787152	6.867496884
SDCCAG8	27.65438326	31.38133422	31.28115588	31.80189937
STARD10	-14.43641864	31.33606838	15.48867072	6.976241626
FRS3	1.728430025	15.2724584	13.97656143	15.7475229
FRS2	35.51649369	8.314015563	29.57231061	24.30253237
NEU3	1.652197713	15.10116562	7.589549791	36.10132985
FTCD	1.422592411	0.3064006748	0.2742766674	-1.294935356
PPP1R17	-1.175245422	5.072643314	-0.3569603596	20.84518009
CLPX	29.65445421	6.771634891	25.40358212	38.58807962
PDE10A	5.442630603	-3.738482109	2.739486394	34.68518933
RUVBL2	-8.001009318	34.20461078	16.6315494	10.86775843
TPBG	-3.529873254	4.96229262	4.616156701	24.54924306
TSPAN9	6.193957368	10.98369284	10.59335065	17.43354352
USP20	8.128275134	23.85066874	14.200335	20.18006019
NMU	-8.984671363	13.91068677	-1.4205826	7.784754755
FGL2	14.08773625	55.83350996	22.46035198	9.006742743
C1QL1	23.3505166	18.52344721	6.270456925	-1.214881558
LYVE1	15.16573029	40.60902555	9.128342115	7.110015833
JTB	-1.376733869	40.61724281	20.46867425	9.082699596
RUNDC3A	-7.55425929	19.99174665	0.04753623039	32.90896939
SUGT1	18.11442574	19.4325154	30.03442248	31.25925188
TCERG1	17.20265926	4.754464813	15.40491172	49.04005645
GLO1	9.507667248	26.05595439	18.02242936	32.8233206
COPS8	7.112182469	23.98506173	17.14256092	42.75985517
FASTK	20.05755182	8.546960714	17.35126612	14.86769684
SMPDL3A	5.725282786	28.41616525	22.60869333	50.93157637
MAN2C1	-2.047422746	32.57319755	26.10464731	-2.269458407
ADK	27.45016449	21.90188207	19.35454518	50.45133461
MITF	18.63256687	32.84492808	82.83079223	12.4571716
CD6	1.357608185	6.492158118	-2.695132475	9.840659217
DNASE1L1	1.909975308	38.66829461	15.33743689	14.72565974
CENPI	10.6643649	7.131161808	9.670962336	9.672504787
HIVEP2	-6.179865275	-4.523997292	-0.765811403	51.01756014
HOXA2	4.366607127	-4.543349319	-4.429473581	0.5649137159
DNAJB2	11.17115147	34.35840643	61.43902712	1.378276734
AKAP13	30.68582446	26.02250959	15.83000514	38.7984476
MCM5	14.99950347	48.87262047	62.843938	-6.284378866
PPP1R1A	14.98705236	12.56218119	2.015027696	13.31170519
RBP4	-4.55892903	19.68293687	-4.127800515	32.86341884
SNTB2	19.39620399	18.72179722	15.96727292	24.54613859
SSFA2	51.05357251	17.00672809	41.20594378	10.8300684
MED22	21.39793631	22.02616851	29.93676562	6.255794456
SYPL1	30.27351598	31.06008291	95.70650421	-0.6219978708
TALDO1	15.74703945	42.92659271	81.58266325	6.681916378
UPK2	0.6240179804	8.261641574	-0.1987915737	2.597073241
LAPTM5	10.14718914	120.5035327	34.21505426	7.22292861
KAT6A	44.04970965	19.84977181	48.42500822	24.22271068
LZTR1	9.773991141	24.42106984	27.34391421	8.032488097
BRAP	20.74634014	5.986535221	11.40508081	45.93248853
LMO4	0.08324898456	14.22494132	3.873928646	40.80263239
MARCO	-1.598710554	13.47126107	-2.72671254	-2.18774099
ZBTB33	17.00733241	19.97563965	17.42537481	41.39689815
TRIM10	4.779588629	13.5941711	7.117456838	0.1338945886
CDC42EP2	3.353161406	37.47785458	92.28042955	-1.405135632
ZFPL1	4.80820274	40.47952721	45.44095896	5.362183155
GJB6	90.87259426	-12.50127567	2.44249517	17.36762614
WDR3	9.350947766	20.3804952	20.21040402	29.58047341
MALT1	14.02477704	15.51628923	10.41562619	15.99797329
UTS2	1.634974523	-1.078014026	-3.895273266	-2.339169022
RALBP1	26.72545433	21.39055012	28.54659131	40.58639646
APOBEC2	1.285875022	-6.208028919	-5.186597472	-0.7541163249
MYOT	9.54526314	31.52267363	65.68635581	-7.681881114
PRDX3	7.076801482	27.46063115	20.32886317	22.53209712
GPR75	61.57850845	-0.910018589	2.6132863	21.04021418
AFG3L2	2.306266865	11.03261689	14.44219574	65.34762224
SF3A3	5.405942295	28.36609447	21.6276919	19.61550883
AP3M2	-1.552132003	27.91375406	11.46114294	67.99892074
BTG3	23.39940133	33.6283406	38.33116048	10.37356574
TOMM34	7.367866655	-2.467227124	-6.508967543	49.80159327
PDIA5	7.509128095	18.28068257	8.95788525	9.334520453
PNRC1	22.41303291	39.99126201	29.63776872	3.982592531
LMAN2	11.71766633	34.66853407	31.3281813	5.7952577
ERP29	-1.146329946	29.9757281	21.23765678	23.7571629
MLLT11	-20.61054176	12.08919895	-0.9067518607	42.73293765
STIP1	-6.220366135	28.23932923	15.8477307	16.6477386
RAB40B	21.88895396	7.188717402	38.92375405	29.76334526
EBNA1BP2	4.53311483	32.64925931	21.18628507	43.65446361
CKAP4	4.098009001	8.983860859	1.47617702	29.25429029
TMED10	31.94251934	49.36097918	69.62827212	29.94799526
ASCC3	34.11939351	21.48307926	36.24187289	31.15233108
UQCR11	13.46417271	36.00972942	24.23568929	19.3591672
CLP1	0.02165626936	11.06216108	8.373516658	3.609275579
FERMT2	81.103228	18.00059488	26.65967885	25.16440218
COPS6	-0.4590745042	34.45801548	25.63647941	23.48720669
CCNI	-15.63629435	22.30677751	18.81702957	24.5266193
METAP2	30.90221626	32.53542717	48.50277634	10.86495475
SLC38A3	53.49922136	13.41083616	33.82513799	4.799068041
SPINK5	0.03257077728	-1.734866757	-0.2603530253	0.0703726168
CCDC85B	1.503391129	12.5658002	2.84391322	24.71756078
IL24	3.457757455	-4.356596887	-2.608054138	-0.6296976615
TLK2	29.32998549	11.86044024	29.2115177	35.64464597
ATF7	24.27640743	24.80579443	42.84628641	9.157845242
TMED5	40.902245	31.79602784	50.3956468	38.20130488
LIAS	13.4380252	21.60221043	31.67527955	35.8615926
IFT27	8.50952786	30.49936021	23.97417931	13.84500815
TDRKH	6.984894871	12.59337782	12.57258435	43.55355746
RAB31	111.8277867	17.69698507	23.19388049	2.24643622
ELF2	25.64516836	22.97063665	42.96642783	17.62275137
GMPR	27.02315685	32.36947716	17.23380147	-9.246911688
COX3	8.650626715	-4.349245953	-3.188505483	-3.975107442
COX1	3.357209957	1.307738418	-2.260007445	-1.085560863
ND6	0.2392519134	-0.8724736579	-4.280156456	-5.848927627
ZFP36L2	44.89727104	28.76499095	28.00465035	-0.562525922
HNMT	37.1139394	15.77894919	18.61551544	30.78528394
HOXD3	4.157263266	13.04397303	25.76557819	2.932234601
IDH3B	-6.570257909	31.11218247	25.18150966	42.14764966
PRKDC	21.57898198	21.37130431	26.62718848	38.12963151
RP2	40.34825248	23.19052287	31.09744642	5.858277584
SC5D	12.53998186	29.47661406	39.58561055	35.46042317
SDF2	-1.430724289	36.85962212	27.04079719	19.76058019
ST3GAL2	10.14357806	5.599913543	-1.140870905	26.05097009
PMEL	5.94163465	4.526927883	3.014579426	-1.721973286
SLC6A9	18.97605561	27.16436768	60.22590885	-0.3155680505
SOX10	15.01146338	34.57527038	103.7698021	-8.715198244
SOX12	24.06632968	8.643780801	17.72976181	5.095985765
SPP2	0.1092038863	-3.919352626	-6.20958634	-3.199982213
HSPA13	11.74558219	12.41342724	9.714073603	49.32682861
TAF5	-8.289790248	12.17681579	9.991631465	18.70358751
UPK1B	5.718158881	-7.642599262	-5.147455846	5.134263554
UPK3A	-0.8576543989	12.28900046	4.053241154	-4.536161328
ZNF22	35.33209641	27.03069451	46.28963561	9.157090258
ZNF24	39.97719669	31.1138089	67.07840581	11.27190754
ZNF32	10.15459683	25.09127303	24.77099339	22.36395296
ZBTB25	13.66876517	15.86848818	21.55500906	31.72720075
SLC39A7	20.14442736	17.50729433	27.15775027	32.48635135
MTERF	13.53972431	16.37836122	20.82512905	20.67535025
NR4A3	17.04318586	4.249369756	6.272135258	27.33066621
ALX1	4.57537683	10.15877091	3.788517932	3.353920242
CLDN10	93.93630934	-2.392182561	5.631131078	-0.942692308
MAGED1	-3.475770521	27.1488572	12.56502954	31.40177394
RPH3AL	11.50514464	8.87477537	10.04103757	10.6602405
RASA4	15.50411236	3.093870191	-1.162313937	4.033671366
LRRC23	15.19352862	39.84701848	22.23647676	2.659569242
NPM3	1.412506087	13.10467377	1.120624065	16.43782006
TACC2	11.54640407	7.517490941	4.101248944	42.04258574
SCGN	5.131459903	-1.652212524	-8.895587524	8.073449198
PAPD7	7.66692401	13.67026075	18.5485514	40.06312466
NUDT21	17.0528602	10.62824954	19.44021077	63.47392568
ZPBP	2.308300871	-3.955006988	-5.113755242	-0.02039228814
DDX52	22.58308579	20.85123947	29.17939891	30.84635219
LECT1	18.97492409	21.26850508	37.68221032	1.890974473
UBE2C	7.687962252	10.71118261	6.974483416	-6.739811753
TMEM115	24.59094298	24.70577356	24.0844593	10.10077096
DUSP14	13.45958298	3.287379017	2.208963071	32.89945971
STMN2	-1.361958322	11.58053915	4.772983012	49.32316609
TRIOBP	42.95630567	28.78216125	37.33281657	11.08302298
KERA	2.300019267	-4.896820984	-4.828502872	-1.475269461
ESM1	5.115303135	9.215014016	6.465276016	3.505037721
ADAMTS8	-1.759888976	14.39861614	16.76837767	18.03783247
ADAMTS5	1.319637177	1.969837254	3.533218122	17.40694171
PTPN21	32.22609948	10.99072837	22.61319266	10.56984143
RPP14	7.556900129	22.75060368	22.70551444	44.52674399
KRR1	24.12372757	31.94437404	22.61324953	44.75709075
FGFR1OP	9.849395776	12.39560828	1.499727654	43.93576352
EMILIN1	14.38138661	23.52771253	13.04732558	-11.45277871
FAF1	24.98300659	22.21867738	39.23382226	30.36754409
CD160	3.887932995	-3.956131274	-6.184210193	-1.704695811
POLR3A	3.239720047	7.074581397	3.834333228	50.96692084
KPTN	-4.503606108	16.00165378	7.729902203	0.6662666172
CDC42EP1	6.998229824	34.92272644	99.20245075	-7.694255012
PWP1	4.256579158	27.15882052	24.26985118	37.12715759
PKIG	14.48576539	12.90357174	-0.9411248003	12.63841504
KAT7	5.639213363	25.90265761	24.07601518	44.44039607
DMC1	16.45247952	4.474006973	-0.3859587699	7.0990058
PLA2G16	15.8233928	43.88318828	122.09052	-9.902213898
FICD	25.7736415	18.04177829	31.85789934	9.768820943
RABL2B	7.895664459	16.1054055	15.95356227	37.90729356
SOX21	62.90502042	1.449826986	1.182852326	6.286258919
FSTL1	45.33200461	16.68705409	17.25014911	12.38492787
SARDH	34.31610702	1.98886486	0.4736046604	3.133181634
GUCA2B	-0.6551230766	17.38834261	17.68345915	-2.036343467
NDUFV1	-6.99037188	39.91727556	27.81771853	29.44387671
UBL3	18.96765122	29.99912411	51.61168996	47.64616303
SSR3	38.53833845	26.80481164	29.59782266	40.99195002
TCF19	1.000491274	5.957053503	7.175337018	-5.15192389
TEP1	29.35498756	29.58792526	34.59017381	3.810022361
THBS3	12.87399005	14.61242458	8.444882871	3.591828983
TNFAIP6	18.9142678	27.43416293	57.07201705	-4.350050667
TRH	-1.398878268	18.08781974	7.15109032	10.80903771
VCP	20.22798724	33.88971265	32.91448466	50.58967935
VIL1	2.588121716	-1.383036913	-6.319306617	-4.571123832
ZIC2	18.43288678	-4.955608662	-0.130967715	0.3117237295
PCGF2	4.854215077	15.24500637	8.640481413	17.24902915
VEZF1	36.2706481	36.01201453	97.93570621	-2.995358612
RNF112	-1.099060175	0.788685972	3.330996228	17.49349902
ZNF185	11.65779331	31.31466286	22.86941003	11.11038159
ZP3	0.4524517828	27.70491578	19.28647446	4.12824359
CSDE1	17.78111419	28.07801337	41.18163083	35.56531507
TFEB	12.53302918	33.2158381	94.37083305	-13.21101626
SLC14A2	3.917942201	6.682620971	2.302819722	-2.475304575
ZMYM6	15.21824851	17.81989265	24.02712641	35.67775835
TESK2	22.94900994	27.40096144	83.96968007	2.878962972
NUP50	12.74600904	17.14178946	17.22895453	59.65410844
PRSS23	1.327261426	14.56314857	3.539200543	8.589435656
ERLIN2	75.87590404	16.77948378	29.31219309	14.66471648
INSL6	3.480574829	-1.542333579	-2.176916584	1.43757629
TREH	0.2957629738	-1.051417941	4.739436068	-2.331546192
MAP4K1	0.7373868297	21.06860345	6.059646672	-4.762558382
PKP3	0.1339341596	2.573327204	-2.213091821	4.056417401
ABCB8	8.434603899	12.93811424	16.504672	14.39070869
SUPT16H	10.79619737	5.980696933	15.6477912	47.27716882
POLI	17.84137824	24.01389855	36.60785138	22.88084576
PROSC	20.75110969	22.63750816	20.18883211	35.74616066
DDX20	12.74876261	13.56343172	17.27915535	42.79971683
DUSP10	14.94173781	20.99805679	65.18538683	6.454992513
GALNT6	2.330358148	37.55151135	95.11615147	-5.956328672
RASSF8	47.68891651	17.7846027	31.62171012	23.51645123
SEC63	26.89051816	30.29325036	40.15714208	42.30642917
POLG2	10.9007603	25.92146829	44.57254256	3.230914254
RNF139	19.59897448	24.15228013	41.27037115	22.60836418
RNF24	12.54459741	15.15803105	5.290920245	13.9078352
PMF1	10.73792365	40.17395738	39.52504447	-5.684821667
ZHX1	40.16364162	5.53655953	15.86890908	26.1872754
GPR176	-0.1849701577	9.101105383	-2.900735202	50.07334545
NXPH3	3.995684978	7.629653454	16.59715662	11.11721197
GPR45	1.454360401	-0.1906215852	-2.114759876	21.46666724
MAN1B1	5.064264331	27.97824074	19.06514697	21.7409038
HRH3	-8.537742928	12.24734242	4.550663124	13.88521011
DCTN3	-15.74068231	34.68645681	12.68761597	34.6126484
CHP1	8.825695342	23.72846447	21.61473607	55.92236556
PXMP4	13.75511833	34.32628018	28.76552269	14.69179666
DUSP12	-2.863735596	30.16845519	26.81394233	22.95709804
SNF8	7.730291153	34.07275353	27.05494263	16.21608528
DDX19A	10.40808902	2.055029306	7.601598253	22.23429434
PNKP	2.645469996	24.70383058	14.63615281	15.54116445
B4GALT7	2.690950686	23.84185135	14.68671009	14.85949439
PNMA2	6.353577741	16.84158875	7.898755113	63.09353588
